Content3,BandName,BandLength,SpectrometerType,Grating,Supplier,Remark,Content1,Content2,Class,FC,
,VNIRG,350-1020nm,SE,400g 550nm,NP,,TL03-000-000033,"LP570-W-002-010, For VNIR",SE2030(R:1.9)/SE4030(R:1.9)/SE2090(R:1.9)/SE2120(R:1.9)/SE4120(R:1.9)(LED Test),,
,VNIR1,400-1070nm,"SE, EE",600g 1000nm,OM,,TL03-000-000033,LP570-W-002-001 For VNIR,,,
,VNIR1A,400-1070nm,EE,600g 800nm,OM,,TL03-000-000033,LP570-W-002-001 For VNIR,,,
,VNIR2,350-1020nm,SE,600g 500nm,OM,,NA,(no 2nd-order filter),,,
,VNIR4,450-1100nm,SE,600g 1000nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR5,300-1200nm,EE,300g 422nm,NP,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR6,330-1050nm,PH,500g 330nm,NP,,TL03-000-000070,"LP570-W-002-009 VNIR, VNIR6 For PH(TP3)",PH2014(R:2.2),,
,VNIR6A,330-1050nm,PH,500g 770nm,NP,,TL03-000-000070,"LP570-W-002-009 VNIR, VNIR6 For PH(TP3)",PH2014(R:2.2),,
,VNIR7,300-1100nm,HB,300g 300nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR7A,300-1100nm,"EE,SE",500g 560nm,NP,,TL03-000-000096,LP570-S-008-270 6060 FOR VNIR7A,,,
,VNIR7B,300-1100nm,SB,300g 500nm,NP,,,,,,
,VNIR8,500-900nm,SE,900g 500mn,OM,,TL03-000-000084,"LP450-S-007-007 For TP1 FUV, V2, V4 ; TP2 VB",,,
,VNIR9,600-1000nm,SE,830g 800nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,VNIR10,445-1100nm,SE,600g 400nm,"OM, NP",,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR10A,445-1100nm,SE,600g 1000nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR10B,445-1100nm,SE,600g 500nm,NP,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR11,330-950nm,CR,150g 200-1200nm,GW,,TL03-000-000087,LP500-Q-006-160 6060 For CR,,,
,VNIR12,430-1050nm,SE,600g 1000nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR13,650-1200nm,SE,600g 1000nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR14,300-970nm,SE,600g 400nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR15,580-1100nm,SE,600g 1000nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR16,500-1000nm,SE,600g 800nm,NP,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR17,400-1050nm,PH,500g 330nm,NP,,TL03-000-000070,"LP570-W-002-090, VNIR, VNIR6 For PH(TP3)",,,
,,,,,,,TL03-000-000086,"LP450-S-007-150, Entrance filter for TP2 V13, V13A",,,
,VNIR17A,400-1050nm,PH,500g 770nm,NP,,"TL03-000-000070
TL03-000-000074","LP570-W-002-009 VNIR, VNIR6 For PH(TP3)",,,
,,,,,,,TL03-000-000086,"LP450-Q-007-150, Entrance filter for TP2 V13, V13A",,,
,VNIR18,430-1100nm,SE,600g 1000nm,OM,,TL03-000-000033,LP570-W-002-001 For VNIR,,,
,VNIR19,500-1100nm,SE,600g 1000nm,OM,,TL03-000-000033,LP570-W-002-001 For VNIR,,,
,VNIR19A,500-1100nm,SE,600g 500nm,OM,,TL03-000-000033,LP570-W-002-001 For VNIR,,,
,VNIR20,400-1000nm,PH4134,400g 550nm,NP,,,,,,
,VNIR21,380-1045nm,SE,600g 500nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR21A,380-1045nm,SE,600g 400nm,OM,,TL03-000-000033,"LP570-W-002-010, For VNIR",,,
,VNIR22,600-1070nm,SB,400g 850nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,DUVN,200-1025nm,"SE, EE, AA, PEM, HB",500g 330nm,NP,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)",,,
,DUVNA,200-1025nm,"SE, HB",500g 770nm,NP,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)",,,
,DUVN1,275-1100nm,"SE,",500g 770nm,NP,,TL03-000-000096,"LP570-Q-008-006 For DUVN, FUVN (UV系列)",,,
,DUVN1A,275-1100nm,"SE,",500g 330nm,SH,,TL03-000-000096,"LP570-Q-008-006 For DUVN, FUVN (UV系列)",,,
,DUVN2,200-1050nm,PH,150g 250nm,NP,,TL03-000-000094,LP570-S-006-230 for PH2034-DUVN2,PH1034(R:10)/PH2034(R:10)/PH4134(R:1.85),,
,DUVN2A,200-1050nm,PH,150g 300nm,NP,,TL03-000-000094,LP570-S-006-230 for PH2034-DUVN2,PH1034(R:10)/PH2034(R:10)/PH4134(R:1.85),,
,DUVN3,230-1055nm,SE,500g 560nm,NP,,TL03-000-000098,LP570-S-008-060 (UV系列),,,
,DUVN4,285-1100nm,EE,500g 330nm,NP,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)",,,
,DUVN5,250-1070nm,SB,400g 550nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,DUVN5A,250-1070nm,SB,400g 850nm,NP,,TL03-000-000097,LP570-S-006-240 for SB_200-850nm,,,
,FUVN,180-1100nm,SE,300g 300nm,OM,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)","SE2030(R:3.2)/SE2090(R:3.2)(Film Thickness Measurement)
SE2030(R:3.2)(Food Analysis)",,
,,,EE,,,,,,EE2063(R:0.2)/EE2093(R:10),,
,,,HB,,,,,,"HB2034(R:3.4)/HB2094(R:3.4)(Film Thickness Measurement)
HB2034(R:2.3)(Food Analysis)",,
,FUVNA,180-1100nm,SE,300g 230nm,NP,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)","SE2030(R:3.2)/SE2090(R:3.2)(Film Thickness Measurement)
SE2030(R:3.2)(Food Analysis)
",,
,,,HB,,,,,,"HB2034(R:3.4)/HB2094(R:3.4)(Film Thickness Measurement)
HB2034(R:2.3)(Food Analysis)",,
,FUVNB,180-1100nm,"SE,EE",400g 250nm,NP,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)","SE2030(R:3.2)/SE2090(R:3.2)(Film Thickness Measurement)
SE2030(R:3.2)(Food Analysis)",,
,FUVNC,180-1100nm,SE,300g 200nm,SH,,TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)","SE2030(R:3.2)/SE2090(R:3.2)(Film Thickness Measurement)
SE2030(R:3.2)(Food Analysis)",,
,FUVN2,180-1100nm,SE,300g 280/580nm,OM,(300/Dual Zone Grating),TL03-000-000037,"LP570-Q-008-006 For DUVN, FUVN (UV系列)","SE2030(R:3.2)/SE2090(R:3.2)(Film Thickness Measurement)
SE2030(R:3.2)(Food Analysis)",,
,,,EE,,,,,,EE2063(R:0.2)/EE2093(R:10),,
,FUVN3,190-1015nm,SE,500g/330nm,NP,,,,,,
,NIR1,790-1010nm,"SE, EE, ",1200g 850nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",SE2030(R:0.9)/S2080(R:0.9)(OCT Application),,
,,,HB,,,,,,HB2034/ HB2114(Raman Detection),,
,NIR1R,790-1010nm,EE,1200g 850nm,NP,,TL03-000-000050,LP785 785nm OD6 Long pass filter For RAMAN,,,
,NIR2,780-1000nm,"SE, HB, SS",1200g 850nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
,NIR3,790-1080nm,SE,1000g 900nm,NP,,TL03-000-000046,"LP570-W-001-120, Entrance filter for NIRx (非NIRA)",,,
